Key,Code,Indicator,Section,Subsection,IndicatorShort,Scale,Source,Dataset,Note
PS31,GCR_MPF_PI,Most problematic factors: Policy instability,PrivateSector,chart4,Policy instability,1,WEF_PROFACT,WEF_PROFACT,
PS32,GCR_MPF_PPH,Most problematic factors: Poor public health,PrivateSector,chart4,Poor public health,1,WEF_PROFACT,WEF_PROFACT,
PS33,GCR_MPF_PWE,Most problematic factors: Poor work ethic in national labor force,PrivateSector,chart4,Poor work ethic in labor force,1,WEF_PROFACT,WEF_PROFACT,
PS34,GCR_MPF_RLR,Most problematic factors: Restrictive labor regulations,PrivateSector,chart4,Restrictive labor regulations,1,WEF_PROFACT,WEF_PROFACT,
PS35,GCR_MPF_TRA,Most problematic factors: Tax rates,PrivateSector,chart4,Tax rates,1,WEF_PROFACT,WEF_PROFACT,
PS36,GCR_MPF_TRE,Most problematic factors: Tax regulations,PrivateSector,chart4,Tax regulations,1,WEF_PROFACT,WEF_PROFACT,
TP01,Total_MFN_SimpleAverage,MFN Tariff (Simple Average),TradePolicy,table5,MFN Tariff (Simple Average),1,WITS_TARIFF,WITS_TARIFF,
TP02,MTNAGR_MFN_SimpleAverage,MFN Tariff (Agriculture),TradePolicy,table5,MFN Tariff (Agriculture),1,WITS_TARIFF,WITS_TARIFF,
TP03,MTNNAGR_MFN_SimpleAverage,MFN Tariff (Non-Agriculture),TradePolicy,table5,MFN Tariff (Non-Agriculture),1,WITS_TARIFF,WITS_TARIFF,
TP04,Total_MFN_StDeviation,Dispersion (Standard Deviation),TradePolicy,table5,Dispersion (Standard Deviation),1,WITS_TARIFF,WITS_TARIFF,
TP05,Total_AHS_SimpleAverage,Applied Tariff (Including Preferences and Trade-Weighted),TradePolicy,table5,Applied Tariff (Incl. Prefers. and Trade-Weighted),1,WITS_TARIFF,WITS_TARIFF,
TP06,Total_BND_Binding,Binding (%),TradePolicy,table5,Binding (%),1,WITS_TARIFF,WITS_TARIFF,
TP07,WTO_M_D_PERC,"Import Duties, % of Imports",TradePolicy,table5,"Import Duties, % of Imports",1,WTO,WTO,1
TP08,WTO_SS_GATS,Services Sectors with GATS Commitments,TradePolicy,table5,Services Sectors with GATS Commitments,1,WTO,WTO,1
TP10,LP.LPI.INFR.XQ,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),TradePolicy,chart8,Infrastructure,1,WDI,LPI,
TP11,LP.LPI.ITRN.XQ,Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),TradePolicy,chart8,International Shipments,1,WDI,LPI,
TP12,LP.LPI.LOGS.XQ,Logistics performance index: Competence and quality of logistics services (1=low to 5=high),TradePolicy,chart8,Logistics Competence,1,WDI,LPI,
TP13,LP.LPI.TIME.XQ,Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),TradePolicy,chart8,Timeliness,1,WDI,LPI,
TP14,LP.LPI.TRAC.XQ,Logistics performance index: Ability to track and trace consignments (1=low to 5=high),TradePolicy,chart8,Tracking and Tracing,1,WDI,LPI,
TP9,LP.LPI.CUST.XQ,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),TradePolicy,chart8,Customs,1,WDI,LPI,
