Indicator,IndicatorCode,IndicatorRaw,Measure,Source,Group
Surface area (sq. km),AG.SRF.TOTL.K2,Surface area (sq. km),,,
Cereal yield (kg per hectare),AG.YLD.CREL.KG,Cereal yield (kg per hectare),,,
"2.06 Available airline seat km/week, millions",AIRSEATKM,"Available airline seat km/week, millions*",Value,,
"2.06 Available airline seat km/week, millions (rank)",AIRSEATKM_R,"Available airline seat km/week, millions*",Rank,,
9.05 Fixed broadband Internet subscriptions/100 pop.,BBSUBPC,Fixed broadband Internet subscriptions/100 pop.*,Value,,
9.05 Fixed broadband Internet subscriptions/100 pop. (rank),BBSUBPC_R,Fixed broadband Internet subscriptions/100 pop.*,Rank,,
Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,Trade in services (% of GDP),,,
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,"Communications, computer, etc. (% of service imports, BoP)",,,
"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,"Primary income payments (BoP, current US$)",,,
"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,"Imports of goods and services (BoP, current US$)",,,
"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,"Insurance and financial services (% of service imports, BoP)",,,
"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,"Goods imports (BoP, current US$)",,,
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,"Service imports (BoP, current US$)",,,
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,"Charges for the use of intellectual property, payments (BoP, current US$)",,,
"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,"Imports of goods, services and primary income (BoP, current US$)",,,
"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,"Transport services (% of service imports, BoP)",,,
"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,"Travel services (% of service imports, BoP)",,,
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.GD.ZS,"Foreign direct investment, net outflows (% of GDP)",,,
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,"Secondary income, other sectors, payments (BoP, current US$)",,,
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,"Personal remittances, paid (current US$)",,,
"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)",,,
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),,,
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",,,
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,"Net primary income (BoP, current US$)",,,
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,"Net trade in goods and services (BoP, current US$)",,,
"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,"Net trade in goods (BoP, current US$)",,,
"Net errors and omissions (BoP, current US$)",BN.KAC.EOMS.CD,"Net errors and omissions (BoP, current US$)",,,
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,"Foreign direct investment, net (BoP, current US$)",,,
"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD,"Portfolio Investment, net (BoP, current US$)",,,
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,"Reserves and related items (BoP, current US$)",,,
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,"Net secondary income (BoP, current US$)",,,
"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,"Net capital account (BoP, current US$)",,,
"1.05 Irregular payments and bribes, 1-7",BRIBEIDX,"Irregular payments and bribes, 1-7 (best)",Value,,
"1.05 Irregular payments and bribes, 1-7 (rank)",BRIBEIDX_R,"Irregular payments and bribes, 1-7 (best)",Rank,,
"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,"Grants, excluding technical cooperation (BoP, current US$)",,,
"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,"Technical cooperation grants (BoP, current US$)",,,
"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,"ICT service exports (BoP, current US$)",,,
"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,"ICT service exports (% of service exports, BoP)",,,
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,"Communications, computer, etc. (% of service exports, BoP)",,,
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,"Primary income receipts (BoP, current US$)",,,
"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,"Exports of goods and services (BoP, current US$)",,,
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,"Insurance and financial services (% of service exports, BoP)",,,
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,"Goods exports (BoP, current US$)",,,
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD,"Service exports (BoP, current US$)",,,
"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,"Charges for the use of intellectual property, receipts (BoP, current US$)",,,
"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,"Exports of goods, services and primary income (BoP, current US$)",,,
"Transport services (% of service exports, BoP)",BX.GSR.TRAN.ZS,"Transport services (% of service exports, BoP)",,,
"Travel services (% of service exports, BoP)",BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)",,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",,,
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",,,
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,"Portfolio equity, net inflows (BoP, current US$)",,,
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD,"Secondary income receipts (BoP, current US$)",,,
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD,"Personal transfers, receipts (BoP, current US$)",,,
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)",,,
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS,"Personal remittances, received (% of GDP)",,,
Control of Corruption,CC.EST,Control of Corruption: Estimate,,WDI,WGI
Control of Corruption: NumSrc,CC.NO.SRC,Control of Corruption: Number of Sources,,WDI,WGI
Control of Corruption: Percentile,CC.PER.RNK,Control of Corruption: Percentile Rank,,WDI,WGI
Control of Corruption: StdErr,CC.STD.ERR,Control of Corruption: Standard Error,,WDI,WGI
"3.05 Country credit rating, 0-100",CCRATING,"Country credit rating, 0–100 (best)*",Value,,
"3.05 Country credit rating, 0-100 (rank)",CCRATING_R,"Country credit rating, 0–100 (best)*",Rank,,
S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,S&P Global Equity Indices (annual % change),,,
Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,Market capitalization of listed companies (current US$),,,
Market capitalization of listed companies (% of GDP),CM.MKT.LCAP.GD.ZS,Market capitalization of listed companies (% of GDP),,,
"Listed domestic companies, total",CM.MKT.LDOM.NO,"Listed domestic companies, total",,,
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,"Stocks traded, total value (current US$)",,,
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,"Stocks traded, total value (% of GDP)",,,
"Stocks traded, turnover ratio (%)",CM.MKT.TRNR,"Stocks traded, turnover ratio (%)",,,
"6.05 Total tax rate, % profits",CORPTAXRATE,"Total tax rate, % profits*",Value,,
"6.05 Total tax rate, % profits (rank)",CORPTAXRATE_R,"Total tax rate, % profits*",Rank,,
Dealing with Construction Permits: Cost (% of warehouse value),DB_DCP_COST,Dealing with Construction Permits: Cost (% of warehouse value),Value,,
Dealing with Construction Permits: DTF,DB_DCP_DTF,Dealing with Construction Permits: DTF,Value,,
Dealing with Construction Permits: DTF progress,DB_DCP_DTFPRO,Dealing with Construction Permits: DTF progress,Value,,
Dealing with Construction Permits: Procedures (number),DB_DCP_PRO,Dealing with Construction Permits: Procedures (number),Value,,
Dealing with Construction Permits: Rank,DB_DCP_R,Dealing with Construction Permits: Rank,Value,,
Dealing with Construction Permits: Reforms since DB2006,DB_DCP_REF_DB2006,Dealing with Construction Permits: Reforms since DB2006,Value,,
Dealing with Construction Permits: Time (days),DB_DCP_TIME,Dealing with Construction Permits: Time (days),Value,,
Enforcing Contracts: Cost (% of claim),DB_EC_COST,Enforcing Contracts: Cost (% of claim),Value,,
Enforcing Contracts: DTF,DB_EC_DTF,Enforcing Contracts: DTF,Value,,
Enforcing Contracts: DTF progress,DB_EC_DTFPRO,Enforcing Contracts: DTF progress,Value,,
Enforcing Contracts: Procedures (number),DB_EC_PRO,Enforcing Contracts: Procedures (number),Value,,
Enforcing Contracts: Rank,DB_EC_R,Enforcing Contracts: Rank,Value,,
Enforcing Contracts: Reforms since DB2006,DB_EC_REF_DB2006,Enforcing Contracts: Reforms since DB2006,Value,,
Enforcing Contracts: Time (days),DB_EC_TIME,Enforcing Contracts: Time (days),Value,,
Getting Credit: Depth of credit information index (0-8),DB_GC_DCI_08,Getting Credit: Depth of credit information index (0-8),Value,,
Getting Credit: DTF,DB_GC_DTF,Getting Credit: DTF,Value,,
Getting Credit: DTF progress,DB_GC_DTFPRO,Getting Credit: DTF progress,Value,,
Getting Credit: Private bureau coverage (% of adults),DB_GC_PBC,Getting Credit: Private bureau coverage (% of adults),Value,,
Getting Credit: Public registry coverage (% of adults),DB_GC_PRC,Getting Credit: Public registry coverage (% of adults),Value,,
Getting Credit: Rank,DB_GC_R,Getting Credit: Rank,Value,,
Getting Credit: Reforms since DB2006,DB_GC_REF_DB2006,Getting Credit: Reforms since DB2006,Value,,
Getting Credit: Strength of legal rights index (0-12),DB_GC_SLR_012,Getting Credit: Strength of legal rights index (0-12),Value,,
Getting Electricity: Cost (% of income per capita),DB_GE_COST,Getting Electricity: Cost (% of income per capita),Value,,
Getting Electricity: DTF,DB_GE_DTF,Getting Electricity: DTF,Value,,
Getting Electricity: DTF progress,DB_GE_DTFPRO,Getting Electricity: DTF progress,Value,,
Getting Electricity: Procedures (number),DB_GE_PRO,Getting Electricity: Procedures (number),Value,,
Getting Electricity: Rank,DB_GE_R,Getting Electricity: Rank,Value,,
Getting Electricity: Reforms since DB2006,DB_GE_REF_DB2006,Getting Electricity: Reforms since DB2006,Value,,
Getting Electricity: Time (days),DB_GE_TIME,Getting Electricity: Time (days),Value,,
Protecting Minority Investors: DTF,DB_PMI_DTF,Protecting Minority Investors: DTF,Value,,
Protecting Minority Investors: DTF progress,DB_PMI_DTFPRO,Protecting Minority Investors: DTF progress,Value,,
Protecting Minority Investors: Extent of conflict of interest regulation index (0-10),DB_PMI_ECIR_010,Protecting Minority Investors: Extent of conflict of interest regulation index (0-10),Value,,
Protecting Minority Investors: Extent of corporate transparency index (0-9),DB_PMI_ECT_010,Protecting Minority Investors: Extent of corporate transparency index (0-10),Value,,
Protecting Minority Investors: Extent of disclosure index (0-10),DB_PMI_EDI_010,Protecting Minority Investors: Extent of disclosure index (0-10),Value,,
Protecting Minority Investors: Extent of director liability index (0-10),DB_PMI_EDL_010,Protecting Minority Investors: Extent of director liability index (0-10),Value,,
Protecting Minority Investors: Extent of shareholder governance index (0-10),DB_PMI_ESG_010,Protecting Minority Investors: Extent of shareholder governance index (0-10),Value,,
Protecting Minority Investors: Extent of shareholder rights index (0-10.5),DB_PMI_ESR_010,Protecting Minority Investors: Extent of shareholder rights index (0-10),Value,,
Protecting Minority Investors: Ease of shareholder suits index (0-10),DB_PMI_ESS_010,Protecting Minority Investors: Ease of shareholder suits index (0-10),Value,,
Protecting Minority Investors: Rank,DB_PMI_R,Protecting Minority Investors: Rank,Value,,
Protecting Minority Investors: Reforms since DB2006,DB_PMI_REF_DB2006,Protecting Minority Investors: Reforms since DB2006,Value,,
Protecting Minority Investors: Strength of governance structure index (0-10.5),DB_PMI_SGS_010,Protecting Minority Investors: Strength of governance structure index (0-10.5),Value,,
Protecting Minority Investors: Strength of minority investor protection index (0-10),DB_PMI_SMIP_010,Protecting Minority Investors: Strength of minority investor protection index (0-10),Value,,
Paying Taxes: DTF,DB_PT_DTF,Paying Taxes: DTF,Value,,
Paying Taxes: DTF progress,DB_PT_DTFPRO,Paying Taxes: DTF progress,Value,,
Paying Taxes: Labor tax and contributions (%),DB_PT_LTC,Paying Taxes: Labor tax and contributions (% of profit),Value,,
Paying Taxes: Other taxes (%),DB_PT_OT,Paying Taxes: Other taxes (% of profit),Value,,
Paying Taxes: Payments (number per year),DB_PT_PAY,Paying Taxes: Payments (number per year),Value,,
Paying Taxes: Profit tax (%),DB_PT_PT,Paying Taxes: Profit tax (% of profit),Value,,
Paying Taxes: Rank,DB_PT_R,Paying Taxes: Rank,Value,,
Paying Taxes: Reforms since DB2006,DB_PT_REF_DB2006,Paying Taxes: Reforms since DB2006,Value,,
Paying Taxes: Time (hours per year),DB_PT_TIME,Paying Taxes: Time (hours per year),Value,,
Paying Taxes: Total tax rate (% profit),DB_PT_TTR,Paying Taxes: Total tax rate (% of profit),Value,,
Resolving Insolvency: Cost (% of estate),DB_RI_COST,Resolving Insolvency: Cost (% of estate),Value,,
Resolving Insolvency: Creditor participation index (0-4),DB_RI_CP_04,Resolving Insolvency: Creditor participation index (0-4),Value,,
Resolving Insolvency: Commencement of proceedings index (0-3),DB_RI_CPI_03,Resolving Insolvency: Commencement of proceedings index (0-3),Value,,
Resolving Insolvency: DTF,DB_RI_DTF,Resolving Insolvency: DTF,Value,,
Resolving Insolvency: DTF progress,DB_RI_DTFPRO,Resolving Insolvency: DTF progress,Value,,
Resolving Insolvency: Management of debtor's assets index (0-6),DB_RI_MDA_06,Resolving Insolvency: Management of debtor's assets index (0-6),Value,,
Resolving Insolvency: Outcome (0 as piecemeal sale and 1 as going concern),DB_RI_OUT_01,Resolving Insolvency: Outcome (0 as piecemeal sale and 1 as going concern),Value,,
Resolving Insolvency: Rank,DB_RI_R,Resolving Insolvency: Rank,Value,,
Resolving Insolvency: Reforms since DB2006,DB_RI_REF_DB2006,Resolving Insolvency: Reforms since DB2006,Value,,
Resolving Insolvency: Reorganization proceedings index (0-3),DB_RI_RP_03,Resolving Insolvency: Reorganization proceedings index (0-3),Value,,
Resolving Insolvency: Recovery rate (cents on the dollar),DB_RI_RR,Resolving Insolvency: Recovery rate (cents on the dollar),Value,,
Resolving Insolvency: Strength of insolvency framework index (0-16),DB_RI_SIF_016,Resolving Insolvency: Strength of insolvency framework index (0-16),Value,,
Resolving Insolvency: Time (years),DB_RI_TIME,Resolving Insolvency: Time (years),Value,,
Registering Property: Cost (% of property value),DB_RP_COST,Registering Property: Cost (% of property value),Value,,
Registering Property: DTF,DB_RP_DTF,Registering Property: DTF,Value,,
Registering Property: DTF progress,DB_RP_DTFPRO,Registering Property: DTF progress,Value,,
Registering Property: Procedures (number),DB_RP_PRO,Registering Property: Procedures (number),Value,,
Registering Property: Rank,DB_RP_R,Registering Property: Rank,Value,,
Registering Property: Reforms since DB2006,DB_RP_REF_DB2006,Registering Property: Reforms since DB2006,Value,,
Registering Property: Time (days),DB_RP_TIME,Registering Property: Time (days),Value,,
Starting a Business: Cost (% of income per capita),DB_SB_COST,Starting a Business: Cost (% of income per capita),Value,,
Starting a Business: DTF,DB_SB_DTF,Starting a Business: DTF,Value,,
Starting a Business: DTF progress,DB_SB_DTFPRO,Starting a Business: DTF progress,Value,,
Starting a Business: Paid-in min. capital (% of income per capita),DB_SB_PMC,Starting a Business: Paid-in min. capital (% of income per capita),Value,,
Starting a Business: Procedures (number),DB_SB_PRO,Starting a Business: Procedures (number),Value,,
Starting a Business: Rank,DB_SB_R,Starting a Business: Rank,Value,,
Starting a Business: Reforms since DB2006,DB_SB_REF_DB2006,Starting a Business: Reforms since DB2006,Value,,
Starting a Business: Time (days),DB_SB_TIME,Starting a Business: Time (days),Value,,
Trading Across Borders: DTF,DB_TAB_DTF,Trading Across Borders: DTF,Value,,
Trading Across Borders: DTF progress,DB_TAB_DTFPRO,Trading Across Borders: DTF progress,Value,,
Trading Across Borders: Rank,DB_TAB_R,Trading Across Borders: Rank,Value,,
Trading Across Borders: Reforms since DB2006,DB_TAB_REF_DB2006,Trading Across Borders: Reforms since DB2006,Value,,
Trading Across Borders: Time to export (days),DB_TAB_TE,Trading Across Borders: Time to export (days),Value,,
Trading Across Borders: Time to import (days),DB_TAB_TI,Trading Across Borders: Time to import (days),Value,,
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,"Net bilateral aid flows from DAC donors, Australia (current US$)",,,
"Net bilateral aid flows from DAC donors, Austria (current US$)",DC.DAC.AUTL.CD,"Net bilateral aid flows from DAC donors, Austria (current US$)",,,
"Net bilateral aid flows from DAC donors, Belgium (current US$)",DC.DAC.BELL.CD,"Net bilateral aid flows from DAC donors, Belgium (current US$)",,,
"Net bilateral aid flows from DAC donors, Canada (current US$)",DC.DAC.CANL.CD,"Net bilateral aid flows from DAC donors, Canada (current US$)",,,
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",,,
"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",,,
"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",DC.DAC.CZEL.CD,"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",,,
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,"Net bilateral aid flows from DAC donors, Germany (current US$)",,,
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,"Net bilateral aid flows from DAC donors, Denmark (current US$)",,,
"Net bilateral aid flows from DAC donors, Spain (current US$)",DC.DAC.ESPL.CD,"Net bilateral aid flows from DAC donors, Spain (current US$)",,,
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,"Net bilateral aid flows from DAC donors, Finland (current US$)",,,
"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,"Net bilateral aid flows from DAC donors, France (current US$)",,,
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",,,
"Net bilateral aid flows from DAC donors, Greece (current US$)",DC.DAC.GRCL.CD,"Net bilateral aid flows from DAC donors, Greece (current US$)",,,
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,"Net bilateral aid flows from DAC donors, Ireland (current US$)",,,
"Net bilateral aid flows from DAC donors, Iceland (current US$)",DC.DAC.ISLL.CD,"Net bilateral aid flows from DAC donors, Iceland (current US$)",,,
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,"Net bilateral aid flows from DAC donors, Italy (current US$)",,,
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,"Net bilateral aid flows from DAC donors, Japan (current US$)",,,
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",DC.DAC.KORL.CD,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",,,
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",DC.DAC.LUXL.CD,"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",,,
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",DC.DAC.NLDL.CD,"Net bilateral aid flows from DAC donors, Netherlands (current US$)",,,
"Net bilateral aid flows from DAC donors, Norway (current US$)",DC.DAC.NORL.CD,"Net bilateral aid flows from DAC donors, Norway (current US$)",,,
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",DC.DAC.NZLL.CD,"Net bilateral aid flows from DAC donors, New Zealand (current US$)",,,
"Net bilateral aid flows from DAC donors, Portugal (current US$)",DC.DAC.PRTL.CD,"Net bilateral aid flows from DAC donors, Portugal (current US$)",,,
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,"Net bilateral aid flows from DAC donors, Sweden (current US$)",,,
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",,,
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,"Net bilateral aid flows from DAC donors, United States (current US$)",,,
"10.01 Domestic market size index, 1-7",DOMMKTIDX,"Domestic market size index, 1–7 (best)*",Value,,
"10.01 Domestic market size index, 1-7 (rank)",DOMMKTIDX_R,"Domestic market size index, 1–7 (best)*",Rank,,
"PPG, bilateral (AMT, current US$)",DT.AMT.BLAT.CD,"PPG, bilateral (AMT, current US$)",,,
"PPG, bilateral concessional (AMT, current US$)",DT.AMT.BLTC.CD,"PPG, bilateral concessional (AMT, current US$)",,,
"IMF repurchases (AMT, current US$)",DT.AMT.DIMF.CD,"IMF repurchases (AMT, current US$)",,,
"Principal repayments on external debt, long-term + IMF (AMT, current US$)",DT.AMT.DLTF.CD,"Principal repayments on external debt, long-term + IMF (AMT, current US$)",,,
"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,"Principal repayments on external debt, long-term (AMT, current US$)",,,
"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",,,
"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",,,
"PPG, IBRD (AMT, current US$)",DT.AMT.MIBR.CD,"PPG, IBRD (AMT, current US$)",,,
"PPG, IDA (AMT, current US$)",DT.AMT.MIDA.CD,"PPG, IDA (AMT, current US$)",,,
"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,"PPG, multilateral (AMT, current US$)",,,
"PPG, multilateral concessional (AMT, current US$)",DT.AMT.MLTC.CD,"PPG, multilateral concessional (AMT, current US$)",,,
"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,"PPG, official creditors (AMT, current US$)",,,
"PPG, bonds (AMT, current US$)",DT.AMT.PBND.CD,"PPG, bonds (AMT, current US$)",,,
"PPG, commercial banks (AMT, current US$)",DT.AMT.PCBK.CD,"PPG, commercial banks (AMT, current US$)",,,
"PNG, bonds (AMT, current US$)",DT.AMT.PNGB.CD,"PNG, bonds (AMT, current US$)",,,
"PNG, commercial banks and other creditors (AMT, current US$)",DT.AMT.PNGC.CD,"PNG, commercial banks and other creditors (AMT, current US$)",,,
"PPG, other private creditors (AMT, current US$)",DT.AMT.PROP.CD,"PPG, other private creditors (AMT, current US$)",,,
"PPG, private creditors (AMT, current US$)",DT.AMT.PRVT.CD,"PPG, private creditors (AMT, current US$)",,,
"Principal arrears, public and publicly guaranteed (current US$)",DT.AXA.DPPG.CD,"Principal arrears, public and publicly guaranteed (current US$)",,,
"Principal arrears, official creditors (current US$)",DT.AXA.OFFT.CD,"Principal arrears, official creditors (current US$)",,,
"Principal arrears, private creditors (current US$)",DT.AXA.PRVT.CD,"Principal arrears, private creditors (current US$)",,,
Principal forgiven (current US$),DT.AXF.DPPG.CD,Principal forgiven (current US$),,,
Principal rescheduled (current US$),DT.AXR.DPPG.CD,Principal rescheduled (current US$),,,
"Principal rescheduled, official (current US$)",DT.AXR.OFFT.CD,"Principal rescheduled, official (current US$)",,,
"Principal rescheduled, private (current US$)",DT.AXR.PRVT.CD,"Principal rescheduled, private (current US$)",,,
"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,"Commitments, public and publicly guaranteed (COM, current US$)",,,
"Commitments, IBRD (COM, current US$)",DT.COM.MIBR.CD,"Commitments, IBRD (COM, current US$)",,,
"Commitments, IDA (COM, current US$)",DT.COM.MIDA.CD,"Commitments, IDA (COM, current US$)",,,
"Commitments, official creditors (COM, current US$)",DT.COM.OFFT.CD,"Commitments, official creditors (COM, current US$)",,,
"Commitments, private creditors (COM, current US$)",DT.COM.PRVT.CD,"Commitments, private creditors (COM, current US$)",,,
"Currency composition of PPG debt, Deutsche mark (%)",DT.CUR.DMAK.ZS,"Currency composition of PPG debt, Deutsche mark (%)",,,
"Currency composition of PPG debt, Euro (%)",DT.CUR.EURO.ZS,"Currency composition of PPG debt, Euro (%)",,,
"Currency composition of PPG debt, French franc (%)",DT.CUR.FFRC.ZS,"Currency composition of PPG debt, French franc (%)",,,
"Currency composition of PPG debt, Japanese yen (%)",DT.CUR.JYEN.ZS,"Currency composition of PPG debt, Japanese yen (%)",,,
"Currency composition of PPG debt, Multiple currencies (%)",DT.CUR.MULC.ZS,"Currency composition of PPG debt, Multiple currencies (%)",,,
"Currency composition of PPG debt, all other currencies (%)",DT.CUR.OTHC.ZS,"Currency composition of PPG debt, all other currencies (%)",,,
"Currency composition of PPG debt, SDR (%)",DT.CUR.SDRW.ZS,"Currency composition of PPG debt, SDR (%)",,,
"Currency composition of PPG debt, Swiss franc (%)",DT.CUR.SWFR.ZS,"Currency composition of PPG debt, Swiss franc (%)",,,
"Currency composition of PPG debt, Pound sterling (%)",DT.CUR.UKPS.ZS,"Currency composition of PPG debt, Pound sterling (%)",,,
"Currency composition of PPG debt, U.S. dollars (%)",DT.CUR.USDL.ZS,"Currency composition of PPG debt, U.S. dollars (%)",,,
Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,Debt forgiveness or reduction (current US$),,,
"PPG, bilateral (DIS, current US$)",DT.DIS.BLAT.CD,"PPG, bilateral (DIS, current US$)",,,
